nth  vaddr      bind type lib          name
16   0x005c9f50 NONE FUNC WS2_32.dll   recv
23   0x005c9f54 NONE FUNC WS2_32.dll   socket
9    0x005c9f58 NONE FUNC WS2_32.dll   htons
2    0x005c9f5c NONE FUNC WS2_32.dll   bind
10   0x005c9f60 NONE FUNC WS2_32.dll   ioctlsocket
13   0x005c9f64 NONE FUNC WS2_32.dll   listen
1    0x005c9f68 NONE FUNC WS2_32.dll   accept
116  0x005c9f6c NONE FUNC WS2_32.dll   WSACleanup
1    0x005c9000 NONE FUNC ADVAPI32.dll RegQueryValueExA
2    0x005c9004 NONE FUNC ADVAPI32.dll RegOpenKeyExA
3    0x005c9008 NONE FUNC ADVAPI32.dll RegSetValueExA
4    0x005c900c NONE FUNC ADVAPI32.dll RegCreateKeyExA
5    0x005c9010 NONE FUNC ADVAPI32.dll RegDeleteKeyA
6    0x005c9014 NONE FUNC ADVAPI32.dll RegOpenKeyA
7    0x005c9018 NONE FUNC ADVAPI32.dll CloseServiceHandle
8    0x005c901c NONE FUNC ADVAPI32.dll ControlService
9    0x005c9020 NONE FUNC ADVAPI32.dll QueryServiceStatus
10   0x005c9024 NONE FUNC ADVAPI32.dll OpenServiceA
11   0x005c9028 NONE FUNC ADVAPI32.dll OpenSCManagerA
12   0x005c902c NONE FUNC ADVAPI32.dll StartServiceA
13   0x005c9030 NONE FUNC ADVAPI32.dll RegQueryValueA
14   0x005c9034 NONE FUNC ADVAPI32.dll RegEnumValueA
15   0x005c9038 NONE FUNC ADVAPI32.dll RegDeleteValueA
16   0x005c903c NONE FUNC ADVAPI32.dll RegCloseKey
1    0x005c9f10 NONE FUNC WINMM.dll    timeBeginPeriod
2    0x005c9f14 NONE FUNC WINMM.dll    timeKillEvent
3    0x005c9f18 NONE FUNC WINMM.dll    timeGetDevCaps
4    0x005c9f1c NONE FUNC WINMM.dll    timeEndPeriod
5    0x005c9f20 NONE FUNC WINMM.dll    timeSetEvent
3079 0x005c9284 NONE FUNC MFC42.DLL    CCmdTarget::GetDispatchIID
4080 0x005c9288 NONE FUNC MFC42.DLL    CCmdTarget::IsInvokeAllowed
4627 0x005c928c NONE FUNC MFC42.DLL    CWnd::OnFinalRelease
4424 0x005c9290 NONE FUNC MFC42.DLL    CCmdTarget::OnCmdMsg
3582 0x005c9294 NONE FUNC MFC42.DLL    CComboBox::GetRuntimeClass
616  0x005c9298 NONE FUNC MFC42.DLL    CComboBox::~CComboBox
4275 0x005c929c NONE FUNC MFC42.DLL    AFX_MSGMAPconstCWnd::messageMap
5290 0x005c92a0 NONE FUNC MFC42.DLL    CWnd::PreTranslateMessage
800  0x005c92a4 NONE FUNC MFC42.DLL    CString::~CString
535  0x005c92a8 NONE FUNC MFC42.DLL    CString::CString
3317 0x005c92ac NONE FUNC MFC42.DLL    CComboBox::GetLBText
537  0x005c92a8 NONE FUNC MFC42.DLL    CString::CString
825  0x005c92b4 NONE FUNC MFC42.DLL    operatordelete
2379 0x005c92b8 NONE FUNC MFC42.DLL    CWnd::Default
3402 0x005c92bc NONE FUNC MFC42.DLL    CWnd::GetMessageMap
567  0x005c92c0 NONE FUNC MFC42.DLL    CWnd::CWnd
1829 0x005c92c4 NONE FUNC MFC42.DLL    CRuntimeClassconstCEdit::classCEdit
