nth  vaddr      bind type lib          name
4    0x1000300c NONE FUNC KERNEL32.dll GetOverlappedResult
5    0x10003010 NONE FUNC KERNEL32.dll FormatMessageA
6    0x10003014 NONE FUNC KERNEL32.dll LocalFree
7    0x10003018 NONE FUNC KERNEL32.dll WaitCommEvent
8    0x1000301c NONE FUNC KERNEL32.dll GetLastError
9    0x10003020 NONE FUNC KERNEL32.dll Sleep
10   0x10003024 NONE FUNC KERNEL32.dll ClearCommError
11   0x10003028 NONE FUNC KERNEL32.dll WaitForMultipleObjects
12   0x1000302c NONE FUNC KERNEL32.dll GetCommMask
13   0x10003030 NONE FUNC KERNEL32.dll CreateEventA
14   0x10003034 NONE FUNC KERNEL32.dll EnterCriticalSection
15   0x10003038 NONE FUNC KERNEL32.dll CreateFileA
16   0x1000303c NONE FUNC KERNEL32.dll LeaveCriticalSection
17   0x10003040 NONE FUNC KERNEL32.dll SetCommTimeouts
18   0x10003044 NONE FUNC KERNEL32.dll SetCommMask
19   0x10003048 NONE FUNC KERNEL32.dll GetCommState
20   0x1000304c NONE FUNC KERNEL32.dll BuildCommDCBA
21   0x10003050 NONE FUNC KERNEL32.dll SetCommState
22   0x10003054 NONE FUNC KERNEL32.dll PurgeComm
23   0x10003058 NONE FUNC KERNEL32.dll SetEvent
24   0x1000305c NONE FUNC KERNEL32.dll CloseHandle
25   0x10003060 NONE FUNC KERNEL32.dll DeleteCriticalSection
26   0x10003064 NONE FUNC KERNEL32.dll InitializeCriticalSection
27   0x10003068 NONE FUNC KERNEL32.dll LocalAlloc
1    0x100031b4 NONE FUNC USER32.dll   IsWindow
2    0x100031b8 NONE FUNC USER32.dll   MessageBoxA
3    0x100031bc NONE FUNC USER32.dll   PostMessageA
