nth paddr      vaddr      len size section type    string
85  0x000050fe 0x100060fe 8   18   .rsrc   utf16le Comments
86  0x00005118 0x10006118 10  22   .rsrc   utf16le ompanyName
87  0x00005136 0x10006136 15  32   .rsrc   utf16le FileDescription
88  0x00005158 0x10006158 29  60   .rsrc   utf16le TrackMaster Controller Module
89  0x0000519a 0x1000619a 11  24   .rsrc   utf16le FileVersion
90  0x000051b4 0x100061b4 10  22   .rsrc   utf16le 1, 0, 0, 1
91  0x000051d2 0x100061d2 12  26   .rsrc   utf16le InternalName
92  0x000051ec 0x100061ec 11  24   .rsrc   utf16le DrvTKMaster
93  0x0000520c 0x1000620c 13  28   .rsrc   utf16le egalCopyright
94  0x00005230 0x10006230 14  30   .rsrc   utf16le egalTrademarks
95  0x00005256 0x10006256 16  34   .rsrc   utf16le OriginalFilename
96  0x00005278 0x10006278 15  32   .rsrc   utf16le DrvTKMaster.DLL
97  0x000052a0 0x100062a0 11  24   .rsrc   utf16le rivateBuild
98  0x000052be 0x100062be 11  24   .rsrc   utf16le ProductName
99  0x000052d8 0x100062d8 43  88   .rsrc   utf16le TrackMaster Controller Dynamic Link Library
100 0x00005336 0x10006336 14  30   .rsrc   utf16le ProductVersion
101 0x00005354 0x10006354 10  22   .rsrc   utf16le 1, 0, 0, 1
102 0x00005374 0x10006374 11  24   .rsrc   utf16le pecialBuild
103 0x00005394 0x10006394 10  22   .rsrc   utf16le arFileInfo
104 0x000053b2 0x100063b2 11  24   .rsrc   utf16le Translation
