nth paddr      vaddr      len size section type    string
88  0x000342f0 0x004342f0 10  11   .rdata  ascii   ObjectLink
89  0x000342fc 0x004342fc 9   10   .rdata  ascii   OwnerLink
90  0x00034308 0x00434308 6   7    .rdata  ascii   Native
91  0x00034408 0x00434408 14  15   .rdata  ascii   COleBusyDialog
92  0x00034430 0x00434430 10  11   .rdata  ascii   COleDialog
93  0x00034518 0x00434518 8   9    .rdata  ascii   %2\CLSID
94  0x00034524 0x00434524 13  14   .rdata  ascii   %2\Insertable
95  0x00034534 0x00434534 33  34   .rdata  ascii   %2\protocol\StdFileEditing\verb\0
96  0x00034556 0x00434556 5   6    .rdata  ascii   &Edit
97  0x0003455c 0x0043455c 33  34   .rdata  ascii   %2\protocol\StdFileEditing\server
98  0x00034584 0x00434584 8   9    .rdata  ascii   CLSID\%1
99  0x00034590 0x00434590 15  16   .rdata  ascii   CLSID\%1\ProgID
100 0x000345a4 0x004345a4 24  25   .rdata  ascii   CLSID\%1\InprocHandler32
101 0x000345bd 0x004345bd 9   10   .rdata  ascii   ole32.dll
102 0x000345c8 0x004345c8 22  23   .rdata  ascii   CLSID\%1\LocalServer32
103 0x000345e4 0x004345e4 15  16   .rdata  ascii   CLSID\%1\Verb\0
104 0x000345f4 0x004345f4 9   10   .rdata  ascii   &Edit,0,2
105 0x00034600 0x00434600 15  16   .rdata  ascii   CLSID\%1\Verb\1
106 0x00034610 0x00434610 9   10   .rdata  ascii   &Open,0,2
107 0x0003461c 0x0043461c 19  20   .rdata  ascii   CLSID\%1\Insertable
108 0x00034634 0x00434634 22  23   .rdata  ascii   CLSID\%1\AuxUserType\2
109 0x00034650 0x00434650 22  23   .rdata  ascii   CLSID\%1\AuxUserType\3
110 0x0003466c 0x0043466c 20  21   .rdata  ascii   CLSID\%1\DefaultIcon
111 0x00034681 0x00434681 5   6    .rdata  ascii   %3,%7
112 0x00034688 0x00434688 19  20   .rdata  ascii   CLSID\%1\MiscStatus
113 0x000346a0 0x004346a0 23  24   .rdata  ascii   CLSID\%1\InProcServer32
114 0x000346bc 0x004346bc 18  19   .rdata  ascii   CLSID\%1\DocObject
115 0x000346d4 0x004346d4 12  13   .rdata  ascii   %2\DocObject
116 0x000346e4 0x004346e4 18  19   .rdata  ascii   CLSID\%1\Printable
117 0x000346f8 0x004346f8 25  26   .rdata  ascii   CLSID\%1\DefaultExtension
118 0x00034712 0x00434712 6   7    .rdata  ascii   %9, %8
119 0x00034940 0x00434940 7   8    .rdata  ascii   H:mm:ss
120 0x00034948 0x00434948 19  20   .rdata  ascii   dddd, MMMM dd, yyyy
121 0x0003495c 0x0043495c 6   7    .rdata  ascii   M/d/yy
122 0x0003496c 0x0043496c 8   9    .rdata  ascii   December
123 0x00034978 0x00434978 8   9    .rdata  ascii   November
124 0x00034984 0x00434984 7   8    .rdata  ascii   October
125 0x0003498c 0x0043498c 9   10   .rdata  ascii   September
126 0x00034998 0x00434998 6   7    .rdata  ascii   August
127 0x000349a0 0x004349a0 4   5    .rdata  ascii   July
128 0x000349a8 0x004349a8 4   5    .rdata  ascii   June
129 0x000349b0 0x004349b0 5   6    .rdata  ascii   April
130 0x000349b8 0x004349b8 5   6    .rdata  ascii   March
131 0x000349c0 0x004349c0 8   9    .rdata  ascii   February
132 0x000349cc 0x004349cc 7   8    .rdata  ascii   January
133 0x00034a04 0x00434a04 8   9    .rdata  ascii   Saturday
134 0x00034a10 0x00434a10 6   7    .rdata  ascii   Friday
135 0x00034a18 0x00434a18 8   9    .rdata  ascii   Thursday
136 0x00034a24 0x00434a24 9   10   .rdata  ascii   Wednesday
137 0x00034a30 0x00434a30 7   8    .rdata  ascii   Tuesday
138 0x00034a38 0x00434a38 6   7    .rdata  ascii   Monday
139 0x00034a40 0x00434a40 6   7    .rdata  ascii   Sunday
140 0x00034b36 0x00434b36 27  28   .rdata  ascii   GAIsProcessorFeaturePresent
141 0x00034b54 0x00434b54 8   9    .rdata  ascii   KERNEL32
142 0x00034b60 0x00434b60 5   6    .rdata  ascii   e+000
143 0x00034b88 0x00434b88 22  23   .rdata  ascii   __GLOBAL_HEAP_SELECTED
144 0x00034ba0 0x00434ba0 20  21   .rdata  ascii   __MSVCRT_HEAP_SELECT
145 0x00034bb8 0x00434bb8 14  15   .rdata  ascii   runtime error
146 0x00034bcc 0x00434bcc 13  14   .rdata  ascii   TLOSS error\r\n
147 0x00034bdc 0x00434bdc 12  13   .rdata  ascii   SING error\r\n
148 0x00034bec 0x00434bec 14  15   .rdata  ascii   DOMAIN error\r\n
149 0x00034bfc 0x00434bfc 36  37   .rdata  ascii   R6028\r\n- unable to initialize heap\r\n
150 0x00034c24 0x00434c24 52  53   .rdata  ascii   R6027\r\n- not enough space for lowio initialization\r\n
151 0x00034c5c 0x00434c5c 52  53   .rdata  ascii   R6026\r\n- not enough space for stdio initialization\r\n
152 0x00034c94 0x00434c94 37  38   .rdata  ascii   R6025\r\n- pure virtual function call\r\n
153 0x00034cbc 0x00434cbc 52  53   .rdata  ascii   R6024\r\n- not enough space for _onexit/atexit table\r\n
154 0x00034cf4 0x00434cf4 40  41   .rdata  ascii   R6019\r\n- unable to open console device\r\n
155 0x00034d20 0x00434d20 32  33   .rdata  ascii   R6018\r\n- unexpected heap error\r\n
156 0x00034d44 0x00434d44 44  45   .rdata  ascii   R6017\r\n- unexpected multithread lock error\r\n
157 0x00034d74 0x00434d74 43  44   .rdata  ascii   R6016\r\n- not enough space for thread data\r\n
158 0x00034da0 0x00434da0 32  33   .rdata  ascii   \r\nabnormal program termination\r\n
159 0x00034dc4 0x00434dc4 43  44   .rdata  ascii   R6009\r\n- not enough space for environment\r\n
160 0x00034df0 0x00434df0 41  42   .rdata  ascii   R6008\r\n- not enough space for arguments\r\n
161 0x00034e1c 0x00434e1c 36  37   .rdata  ascii   R6002\r\n- floating point not loaded\r\n
162 0x00034e44 0x00434e44 36  37   .rdata  ascii   Microsoft Visual C++ Runtime Library
163 0x00034e70 0x00434e70 25  26   .rdata  ascii   Runtime Error!\n\nProgram:
164 0x00034e90 0x00434e90 22  23   .rdata  ascii   <program name unknown>
165 0x00034ec9 0x00434ec9 7   8    .rdata  ascii    (8PX\a\b
166 0x00034ed1 0x00434ed1 6   7    .rdata  ascii   700WP\a
167 0x00034ee0 0x00434ee0 7   8    .rdata  ascii   \b`h````
168 0x00034ee9 0x00434ee9 9   10   .rdata  ascii   ppxxxx\b\a\b
169 0x00034f08 0x00434f08 4   10   .rdata  utf16le ull)
170 0x00034f14 0x00434f14 6   7    .rdata  ascii   (null)
171 0x00034f54 0x00434f54 5   6    .rdata  ascii   frexp
172 0x00034f5c 0x00434f5c 4   5    .rdata  ascii   fmod
173 0x00034f64 0x00434f64 6   7    .rdata  ascii   _hypot
174 0x00034f6c 0x00434f6c 5   6    .rdata  ascii   _cabs
175 0x00034f74 0x00434f74 5   6    .rdata  ascii   ldexp
176 0x00034f7c 0x00434f7c 4   5    .rdata  ascii   modf
177 0x00034f84 0x00434f84 4   5    .rdata  ascii   fabs
178 0x00034f8c 0x00434f8c 5   6    .rdata  ascii   floor
179 0x00034f94 0x00434f94 4   5    .rdata  ascii   ceil
180 0x00034fa8 0x00434fa8 4   5    .rdata  ascii   sqrt
181 0x00034fb0 0x00434fb0 5   6    .rdata  ascii   atan2
182 0x00034fb8 0x00434fb8 4   5    .rdata  ascii   atan
183 0x00034fc0 0x00434fc0 4   5    .rdata  ascii   acos
184 0x00034fc8 0x00434fc8 4   5    .rdata  ascii   asin
185 0x00034fd0 0x00434fd0 4   5    .rdata  ascii   tanh
186 0x00034fd8 0x00434fd8 4   5    .rdata  ascii   cosh
187 0x00034fe0 0x00434fe0 4   5    .rdata  ascii   sinh
188 0x00034fe8 0x00434fe8 5   6    .rdata  ascii   log10
189 0x00034ffc 0x00434ffc 21  22   .rdata  ascii   SunMonTueWedThuFriSat
190 0x00035014 0x00435014 36  37   .rdata  ascii   JanFebMarAprMayJunJulAugSepOctNovDec
191 0x00035040 0x00435040 18  19   .rdata  ascii   GetLastActivePopup
192 0x00035054 0x00435054 15  16   .rdata  ascii   GetActiveWindow
193 0x00035064 0x00435064 11  12   .rdata  ascii   MessageBoxA
194 0x00035070 0x00435070 6   7    .rdata  ascii   1#QNAN
195 0x00035078 0x00435078 5   6    .rdata  ascii   1#INF
196 0x00035080 0x00435080 5   6    .rdata  ascii   1#IND
197 0x00035088 0x00435088 6   7    .rdata  ascii   1#SNAN
198 0x000351b7 0x004351b7 5   6    .rdata  ascii   F0:s\f
199 0x00035265 0x00435265 7   8    .rdata  ascii   Dw=|:s\f
200 0x00035275 0x00435275 7   8    .rdata  ascii   Dw=U:s\f
201 0x00035285 0x00435285 7   8    .rdata  ascii   Dw=}:s\f
202 0x000352a5 0x004352a5 7   8    .rdata  ascii   Dw=~:s\f
203 0x000352e5 0x004352e5 4   5    .rdata  ascii   Dw=q
